SessionId,SessionCode,Condition,SequenceNumber,Sender,Message,CreatedAtUtc
adfebe26-2c05-47ce-9c28-5abdcfd5742e,EXP-69BE7B49,Human,1,Participant,¿Qué harías si tuvieras un día libre inesperado?,2026-08-20T09:00:20Z
adfebe26-2c05-47ce-9c28-5abdcfd5742e,EXP-69BE7B49,Human,2,Interlocutor,Probablemente saldría a caminar y luego vería una película.,2026-08-20T09:00:40Z
adfebe26-2c05-47ce-9c28-5abdcfd5742e,EXP-69BE7B49,Human,3,Participant,¿Cómo describirías tu día hasta ahora?,2026-08-20T09:01:00Z
adfebe26-2c05-47ce-9c28-5abdcfd5742e,EXP-69BE7B49,Human,4,Interlocutor,"Ha sido tranquilo, estuve trabajando en un proyecto de la universidad.",2026-08-20T09:01:20Z
adfebe26-2c05-47ce-9c28-5abdcfd5742e,EXP-69BE7B49,Human,5,Participant,¿Qué opinas de aprender un nuevo idioma?,2026-08-20T09:01:40Z
adfebe26-2c05-47ce-9c28-5abdcfd5742e,EXP-69BE7B49,Human,6,Interlocutor,"Me parece muy útil, abre muchas puertas y perspectivas.",2026-08-20T09:02:00Z
5c09c9cc-53bc-43c6-94c3-78306d487a0e,EXP-58AA9730,Human,1,Participant,"Si pudieras viajar a cualquier lugar, ¿a dónde irías?",2026-08-20T09:15:20Z
5c09c9cc-53bc-43c6-94c3-78306d487a0e,EXP-58AA9730,Human,2,Interlocutor,"Me gustaría conocer Japón, su cultura me parece fascinante.",2026-08-20T09:15:40Z
5c09c9cc-53bc-43c6-94c3-78306d487a0e,EXP-58AA9730,Human,3,Participant,¿Cuál es tu comida favorita y por qué?,2026-08-20T09:16:00Z
5c09c9cc-53bc-43c6-94c3-78306d487a0e,EXP-58AA9730,Human,4,Interlocutor,"Me gusta mucho la pasta, sobre todo si la prepara mi mamá.",2026-08-20T09:16:20Z
953c0c93-9e3d-490d-a053-8227fb6c3d95,EXP-5A9DA4C0,Human,1,Participant,¿Qué haces para relajarte después de un día difícil?,2026-08-20T09:30:20Z
953c0c93-9e3d-490d-a053-8227fb6c3d95,EXP-5A9DA4C0,Human,2,Interlocutor,Escucho música o salgo a caminar un rato.,2026-08-20T09:30:40Z
953c0c93-9e3d-490d-a053-8227fb6c3d95,EXP-5A9DA4C0,Human,3,Participant,¿Qué opinas de aprender un nuevo idioma?,2026-08-20T09:31:00Z
953c0c93-9e3d-490d-a053-8227fb6c3d95,EXP-5A9DA4C0,Human,4,Interlocutor,"Me parece muy útil, abre muchas puertas y perspectivas.",2026-08-20T09:31:20Z
09969489-bdc9-4889-96fb-9e1d495c3be8,EXP-902DFB60,Human,1,Participant,¿Qué opinas sobre el cambio climático?,2026-08-20T09:45:20Z
09969489-bdc9-4889-96fb-9e1d495c3be8,EXP-902DFB60,Human,2,Interlocutor,"Me preocupa, creo que falta más acción concreta de los gobiernos.",2026-08-20T09:45:40Z
